book,chapter,summary,num_verses,most_common_word,avg_words_per_verse
1-ne,11,"Nephi sees the Spirit of the Lord and is shown in vision the tree of life—He sees the mother of the Son of God and learns of the condescension of God—He sees the baptism, ministry, and crucifixion of the Lamb of God—He sees also the call and ministry of the Twelve Apostles of the Lamb. About 600–592 B.C.",36,beheld,35.52777777777778
1-ne,12,"Nephi sees in vision the land of promise; the righteousness, iniquity, and downfall of its inhabitants; the coming of the Lamb of God among them; how the Twelve Disciples and the Twelve Apostles will judge Israel; and the loathsome and filthy state of those who dwindle in unbelief. About 600–592 B.C.",23,saw,36.47826086956522
1-ne,13,"Nephi sees in vision the church of the devil set up among the Gentiles, the discovery and colonizing of America, the loss of many plain and precious parts of the Bible, the resultant state of gentile apostasy, the restoration of the gospel, the coming forth of latter-day scripture, and the building up of Zion. About 600–592 B.C.",42,gentiles,43.95238095238095
1-ne,14,An angel tells Nephi of the blessings and cursings to fall upon the Gentiles—There are only two churches: the Church of the Lamb of God and the church of the devil—The Saints of God in all nations are persecuted by the great and abominable church—The Apostle John will write concerning the end of the world. About 600–592 B.C.,30,god,41.833333333333336
1-ne,15,Lehi’s seed are to receive the gospel from the Gentiles in the latter days—The gathering of Israel is likened unto an olive tree whose natural branches will be grafted in again—Nephi interprets the vision of the tree of life and speaks of the justice of God in dividing the wicked from the righteous. About 600–592 B.C.,36,god,40.27777777777778
1-ne,16,The wicked take the truth to be hard—Lehi’s sons marry the daughters of Ishmael—The Liahona guides their course in the wilderness—Messages from the Lord are written on the Liahona from time to time—Ishmael dies; his family murmurs because of afflictions. About 600–592 B.C.,39,lord,41.56410256410256
1-ne,17,"Nephi is commanded to build a ship—His brethren oppose him—He exhorts them by recounting the history of God’s dealings with Israel—Nephi is filled with the power of God—His brethren are forbidden to touch him, lest they wither as a dried reed. About 592–591 B.C.",55,lord,45.21818181818182
1-ne,18,"The ship is finished—The births of Jacob and Joseph are mentioned—The company embarks for the promised land—The sons of Ishmael and their wives join in revelry and rebellion—Nephi is bound, and the ship is driven back by a terrible tempest—Nephi is freed, and by his prayer the storm ceases—The people arrive in the promised land. About 591–589 B.C.",25,lord,48.0
1-ne,19,"Nephi makes plates of ore and records the history of his people—The God of Israel will come six hundred years from the time Lehi left Jerusalem—Nephi tells of His sufferings and crucifixion—The Jews will be despised and scattered until the latter days, when they will return unto the Lord. About 588–570 B.C.",24,prophet,51.375
1-ne,20,The Lord reveals His purposes to Israel—Israel has been chosen in the furnace of affliction and is to go forth from Babylon—Compare Isaiah 48 . About 588–570 B.C.,22,lord,31.0
1-ne,21,The Messiah will be a light to the Gentiles and will free the prisoners—Israel will be gathered with power in the last days—Kings will be their nursing fathers—Compare Isaiah 49 . About 588–570 B.C.,26,lord,36.07692307692308
1-ne,22,"Israel will be scattered upon all the face of the earth—The Gentiles will nurse and nourish Israel with the gospel in the last days—Israel will be gathered and saved, and the wicked will burn as stubble—The kingdom of the devil will be destroyed, and Satan will be bound. About 588–570 B.C.",31,come,46.774193548387096
2-ne,1,Lehi prophesies of a land of liberty—His seed will be scattered and smitten if they reject the Holy One of Israel—He exhorts his sons to put on the armor of righteousness. About 588–570 B.C.,32,lord,46.65625
2-ne,2,Redemption comes through the Holy Messiah—Freedom of choice (agency) is essential to existence and progression—Adam fell that men might be—Men are free to choose liberty and eternal life. About 588–570 B.C.,30,god,46.53333333333333
2-ne,3,"Joseph in Egypt saw the Nephites in vision—He prophesied of Joseph Smith, the latter-day seer; of Moses, who would deliver Israel; and of the coming forth of the Book of Mormon. About 588–570 B.C.",25,loins,45.56
2-ne,4,Lehi counsels and blesses his posterity—He dies and is buried—Nephi glories in the goodness of God—Nephi puts his trust in the Lord forever. About 588–570 B.C.,35,mine,36.05714285714286
2-ne,5,"The Nephites separate themselves from the Lamanites, keep the law of Moses, and build a temple—Because of their unbelief, the Lamanites are cut off from the presence of the Lord, are cursed, and become a scourge unto the Nephites. About 588–559 B.C.",34,lord,33.470588235294116
2-ne,6,Jacob recounts Jewish history: The Babylonian captivity and return; the ministry and crucifixion of the Holy One of Israel; the help received from the Gentiles; and the Jews’ latter-day restoration when they believe in the Messiah. About 559–545 B.C.,18,lord,47.888888888888886
2-ne,7,Jacob continues reading from Isaiah: Isaiah speaks messianically—The Messiah will have the tongue of the learned—He will give His back to the smiters—He will not be confounded—Compare Isaiah 50 . About 559–545 B.C.,11,lord,35.36363636363637
2-ne,8,"Jacob continues reading from Isaiah: In the last days, the Lord will comfort Zion and gather Israel—The redeemed will come to Zion amid great joy—Compare Isaiah 51 and 52:1–2 . About 559–545 B.C.",25,lord,31.4
2-ne,9,"Jacob explains that the Jews will be gathered in all their lands of promise—The Atonement ransoms man from the Fall—The bodies of the dead will come forth from the grave, and their spirits from hell and from paradise—They will be judged—The Atonement saves from death, hell, the devil, and endless torment—The righteous are to be saved in the kingdom of God—Penalties for sins are set forth—The Holy One of Israel is the keeper of the gate. About 559–545 B.C.",54,god,41.388888888888886
2-ne,10,Jacob explains that the Jews will crucify their God—They will be scattered until they begin to believe in Him—America will be a land of liberty where no king will rule—Reconcile yourselves to God and gain salvation through His grace. About 559–545 B.C.,25,god,36.68
2-ne,11,Jacob saw his Redeemer—The law of Moses typifies Christ and proves He will come. About 559–545 B.C.,8,words,40.625
2-ne,12,"Isaiah sees the latter-day temple, gathering of Israel, and millennial judgment and peace—The proud and wicked will be brought low at the Second Coming—Compare Isaiah 2 . About 559–545 B.C.",22,lord,29.0
2-ne,13,Judah and Jerusalem will be punished for their disobedience—The Lord pleads for and judges His people—The daughters of Zion are cursed and tormented for their worldliness—Compare Isaiah 3 . About 559–545 B.C.,26,lord,22.346153846153847
2-ne,14,Zion and her daughters will be redeemed and cleansed in the millennial day—Compare Isaiah 4 . About 559–545 B.C.,6,zion,33.333333333333336
2-ne,15,"The Lord’s vineyard (Israel) will become desolate, and His people will be scattered—Woes will come upon them in their apostate and scattered state—The Lord will lift an ensign and gather Israel—Compare Isaiah 5 . About 559–545 B.C.",30,lord,27.966666666666665
2-ne,16,Isaiah sees the Lord—Isaiah’s sins are forgiven—He is called to prophesy—He prophesies of the rejection by the Jews of Christ’s teachings—A remnant will return—Compare Isaiah 6 . About 559–545 B.C.,13,lord,28.46153846153846
2-ne,17,Ephraim and Syria wage war against Judah—Christ will be born of a virgin—Compare Isaiah 7 . About 559–545 B.C.,25,son,27.64
2-ne,18,"Christ will be as a stone of stumbling and a rock of offense—Seek the Lord, not peeping wizards—Turn to the law and to the testimony for guidance—Compare Isaiah 8 . About 559–545 B.C.",22,lord,25.318181818181817
2-ne,19,Isaiah speaks messianically—The people in darkness will see a great light—Unto us a child is born—He will be the Prince of Peace and will reign on David’s throne—Compare Isaiah 9 . About 559–545 B.C.,21,lord,26.952380952380953
2-ne,20,The destruction of Assyria is a type of the destruction of the wicked at the Second Coming—Few people will be left after the Lord comes again—The remnant of Jacob will return in that day—Compare Isaiah 10 . About 559–545 B.C.,34,lord,26.764705882352942
2-ne,21,The stem of Jesse (Christ) will judge in righteousness—The knowledge of God will cover the earth in the Millennium—The Lord will raise an ensign and gather Israel—Compare Isaiah 11 . About 559–545 B.C.,16,lord,30.9375
2-ne,22,In the millennial day all men will praise the Lord—He will dwell among them—Compare Isaiah 12 . About 559–545 B.C.,6,lord,21.833333333333332
2-ne,23,The destruction of Babylon is a type of the destruction at the Second Coming—It will be a day of wrath and vengeance —Babylon (the world) will fall forever—Compare Isaiah 13 . About 559–545 B.C.,22,lord,26.227272727272727
2-ne,24,Israel will be gathered and will enjoy millennial rest—Lucifer was cast out of heaven for rebellion—Israel will triumph over Babylon (the world)—Compare Isaiah 14 . About 559–545 B.C.,32,lord,27.59375
2-ne,25,"Nephi glories in plainness—Isaiah’s prophecies will be understood in the last days—The Jews will return from Babylon, crucify the Messiah, and be scattered and scourged—They will be restored when they believe in the Messiah—He will first come six hundred years after Lehi left Jerusalem—The Nephites keep the law of Moses and believe in Christ, who is the Holy One of Israel. About 559–545 B.C.",30,christ,54.5
2-ne,26,Christ will minister to the Nephites—Nephi foresees the destruction of his people—They will speak from the dust—The Gentiles will build up false churches and secret combinations—The Lord forbids men to practice priestcrafts. About 559–545 B.C.,33,lord,42.63636363636363
2-ne,27,Darkness and apostasy will cover the earth in the last days—The Book of Mormon will come forth—Three witnesses will testify of the book—The learned man will say he cannot read the sealed book—The Lord will do a marvelous work and a wonder—Compare Isaiah 29 . About 559–545 B.C.,35,book,40.65714285714286
2-ne,28,"Many false churches will be built up in the last days—They will teach false, vain, and foolish doctrines—Apostasy will abound because of false teachers—The devil will rage in the hearts of men—He will teach all manner of false doctrines. About 559–545 B.C.",32,god,37.0625
2-ne,29,"Many Gentiles will reject the Book of Mormon—They will say, We need no more Bible—The Lord speaks to many nations—He will judge the world out of the books which will be written. About 559–545 B.C.",14,words,54.5
2-ne,30,Converted Gentiles will be numbered with the covenant people—Many Lamanites and Jews will believe the word and become delightsome—Israel will be restored and the wicked destroyed. About 559–545 B.C.,18,people,38.27777777777778
2-ne,31,"Nephi tells why Christ was baptized—Men must follow Christ, be baptized, receive the Holy Ghost, and endure to the end to be saved—Repentance and baptism are the gate to the strait and narrow path—Eternal life comes to those who keep the commandments after baptism. About 559–545 B.C.",21,holy,45.142857142857146
2-ne,32,Angels speak by the power of the Holy Ghost—Men must pray and gain knowledge for themselves from the Holy Ghost. About 559–545 B.C.,9,behold,45.666666666666664
2-ne,33,"Nephi’s words are true—They testify of Christ—Those who believe in Christ will believe Nephi’s words, which will stand as a witness before the judgment bar. About 559–545 B.C.",15,words,41.46666666666667
jacob,1,Jacob and Joseph seek to persuade men to believe in Christ and keep His commandments—Nephi dies—Wickedness prevails among the Nephites. About 544–421 B.C.,19,people,36.578947368421055
jacob,2,"Jacob denounces the love of riches, pride, and unchastity—Men may seek riches to help their fellowmen—The Lord commands that no man among the Nephites may have more than one wife—The Lord delights in the chastity of women. About 544–421 B.C.",35,god,38.542857142857144
jacob,3,"The pure in heart receive the pleasing word of God—Lamanite righteousness exceeds that of the Nephites—Jacob warns against fornication, lasciviousness, and every sin. About 544–421 B.C.",14,god,42.42857142857143
jacob,4,All the prophets worshiped the Father in the name of Christ—Abraham’s offering of Isaac was in similitude of God and His Only Begotten—Men should reconcile themselves to God through the Atonement—The Jews will reject the foundation stone. About 544–421 B.C.,18,behold,49.0
jacob,5,Jacob quotes Zenos relative to the allegory of the tame and wild olive trees—They are a likeness of Israel and the Gentiles—The scattering and gathering of Israel are prefigured—Allusions are made to the Nephites and Lamanites and all the house of Israel—The Gentiles will be grafted into Israel—Eventually the vineyard will be burned. About 544–421 B.C.,77,vineyard,48.66233766233766
jacob,6,The Lord will recover Israel in the last days—The world will be burned with fire—Men must follow Christ to avoid the lake of fire and brimstone. About 544–421 B.C.,13,god,37.30769230769231
jacob,7,"Sherem denies Christ, contends with Jacob, demands a sign, and is smitten of God—All of the prophets have spoken of Christ and His Atonement—The Nephites lived out their days as wanderers, born in tribulation, and hated by the Lamanites. About 544–421 B.C.",27,people,45.03703703703704
enos,1,"Enos prays mightily and gains a remission of his sins—The voice of the Lord comes into his mind, promising salvation for the Lamanites in a future day—The Nephites sought to reclaim the Lamanites—Enos rejoices in his Redeemer. About 420 B.C.",27,god,41.370370370370374
jarom,1,"The Nephites keep the law of Moses, look forward to the coming of Christ, and prosper in the land—Many prophets labor to keep the people in the way of truth. About 399–361 B.C.",15,behold,46.93333333333333
omni,1,"Omni, Amaron, Chemish, Abinadom, and Amaleki, each in turn, keep the records—Mosiah discovers the people of Zarahemla, who came from Jerusalem in the days of Zedekiah—Mosiah is made king over them—The descendants of Mulek at Zarahemla had discovered Coriantumr, the last of the Jaredites—King Benjamin succeeds Mosiah—Men should offer their souls as an offering to Christ. About 323–130 B.C.",30,behold,45.46666666666667
w-of-m,1,Mormon abridges the large plates of Nephi—He puts the small plates with the other plates—King Benjamin establishes peace in the land. About A.D. 385.,18,people,45.72222222222222
mosiah,1,King Benjamin teaches his sons the language and prophecies of their fathers—Their religion and civilization have been preserved because of the records kept on the various plates—Mosiah is chosen as king and is given custody of the records and other things. About 130–124 B.C.,18,people,52.27777777777778
mosiah,2,"King Benjamin addresses his people—He recounts the equity, fairness, and spirituality of his reign—He counsels them to serve their Heavenly King—Those who rebel against God will suffer anguish like unquenchable fire. About 124 B.C.",41,god,50.02439024390244
mosiah,3,King Benjamin continues his address—The Lord Omnipotent will minister among men in a tabernacle of clay—Blood will come from every pore as He atones for the sins of the world—His is the only name whereby salvation comes—Men can put off the natural man and become Saints through the Atonement—The torment of the wicked will be as a lake of fire and brimstone. About 124 B.C.,27,god,38.888888888888886
mosiah,4,King Benjamin continues his address—Salvation comes because of the Atonement—Believe in God to be saved—Retain a remission of your sins through faithfulness—Impart of your substance to the poor—Do all things in wisdom and order. About 124 B.C.,30,god,51.93333333333333
mosiah,5,The Saints become the sons and daughters of Christ through faith—They are then called by the name of Christ—King Benjamin exhorts them to be steadfast and immovable in good works. About 124 B.C.,15,name,48.4
mosiah,6,King Benjamin records the names of the people and appoints priests to teach them—Mosiah reigns as a righteous king. About 124–121 B.C.,7,king,43.714285714285715
mosiah,7,"Ammon finds the land of Lehi-Nephi, where Limhi is king—Limhi’s people are in bondage to the Lamanites—Limhi recounts their history—A prophet (Abinadi) had testified that Christ is the God and Father of all things—Those who sow filthiness reap the whirlwind, and those who put their trust in the Lord will be delivered. About 121 B.C.",33,king,46.0
mosiah,8,Ammon teaches the people of Limhi—He learns of the twenty-four Jaredite plates—Ancient records can be translated by seers—No gift is greater than seership. About 121 B.C.,21,people,44.523809523809526
mosiah,9,Zeniff leads a group from Zarahemla to possess the land of Lehi-Nephi—The Lamanite king permits them to inherit the land—There is war between the Lamanites and Zeniff’s people. About 200–187 B.C.,19,people,45.421052631578945
mosiah,10,King Laman dies—His people are wild and ferocious and believe in false traditions—Zeniff and his people prevail against them. About 187–160 B.C.,22,people,43.45454545454545
mosiah,11,King Noah rules in wickedness—He revels in riotous living with his wives and concubines—Abinadi prophesies that the people will be taken into bondage—His life is sought by King Noah. About 160–150 B.C.,29,people,43.48275862068966
mosiah,12,Abinadi is imprisoned for prophesying the destruction of the people and the death of King Noah—The false priests quote the scriptures and pretend to keep the law of Moses—Abinadi begins to teach them the Ten Commandments. About 148 B.C.,37,lord,34.67567567567568
mosiah,13,Abinadi is protected by divine power—He teaches the Ten Commandments—Salvation does not come by the law of Moses alone—God Himself will make an atonement and redeem His people. About 148 B.C.,35,god,30.4
mosiah,14,Isaiah speaks messianically—The Messiah’s humiliation and sufferings are set forth—He makes His soul an offering for sin and makes intercession for transgressors—Compare Isaiah 53 . About 148 B.C.,12,lord,32.083333333333336
mosiah,15,How Christ is both the Father and the Son—He will make intercession and bear the transgressions of His people—They and all the holy prophets are His seed—He brings to pass the Resurrection—Little children have eternal life. About 148 B.C.,31,lord,33.16129032258065
mosiah,16,God redeems men from their lost and fallen state—Those who are carnal remain as though there were no redemption—Christ brings to pass a resurrection to endless life or to endless damnation. About 148 B.C.,15,god,35.93333333333333
mosiah,17,Alma believes and writes the words of Abinadi—Abinadi suffers death by fire—He prophesies disease and death by fire upon his murderers. About 148 B.C.,20,abinadi,32.25
mosiah,18,Alma preaches in private—He sets forth the covenant of baptism and baptizes at the waters of Mormon—He organizes the Church of Christ and ordains priests—They support themselves and teach the people—Alma and his people flee from King Noah into the wilderness. About 147–145 B.C.,35,god,38.82857142857143
mosiah,19,Gideon seeks to slay King Noah—The Lamanites invade the land—King Noah suffers death by fire—Limhi rules as a tributary monarch. About 145–121 B.C.,29,king,33.96551724137931
mosiah,20,Some Lamanite daughters are abducted by the priests of Noah—The Lamanites wage war upon Limhi and his people—The Lamanite hosts are repulsed and pacified. About 145–123 B.C.,26,people,37.42307692307692
mosiah,21,Limhi’s people are smitten and defeated by the Lamanites—Limhi’s people meet Ammon and are converted—They tell Ammon of the twenty-four Jaredite plates. About 122–121 B.C.,36,people,36.75
mosiah,22,"Plans are made for the people to escape from Lamanite bondage—The Lamanites are made drunk—The people escape, return to Zarahemla, and become subject to King Mosiah. About 121–120 B.C.",16,people,38.875
mosiah,23,"Alma refuses to be king—He serves as high priest—The Lord chastens His people, and the Lamanites conquer the land of Helam—Amulon, leader of King Noah’s wicked priests, rules subject to the Lamanite monarch. About 145–121 B.C.",39,king,30.102564102564102
mosiah,24,"Amulon persecutes Alma and his people—They are to be put to death if they pray—The Lord makes their burdens seem light—He delivers them from bondage, and they return to Zarahemla. About 145–120 B.C.",25,people,37.8
mosiah,25,The descendants of Mulek at Zarahemla become Nephites—They learn of the people of Alma and of Zeniff—Alma baptizes Limhi and all his people—Mosiah authorizes Alma to organize the Church of God. About 120 B.C.,24,people,34.75
mosiah,26,"Many members of the Church are led into sin by unbelievers—Alma is promised eternal life—Those who repent and are baptized gain forgiveness—Church members in sin who repent and confess to Alma and to the Lord will be forgiven; otherwise, they will not be numbered among the people of the Church. About 120–100 B.C.",39,church,30.076923076923077
mosiah,27,Mosiah forbids persecution and enjoins equality—Alma the younger and the four sons of Mosiah seek to destroy the Church—An angel appears and commands them to cease their evil course—Alma is struck dumb—All mankind must be born again to gain salvation—Alma and the sons of Mosiah declare glad tidings. About 100–92 B.C.,37,god,42.21621621621622
mosiah,28,"The sons of Mosiah go to preach to the Lamanites—Using the two seer stones, Mosiah translates the Jaredite plates. About 92 B.C.",20,lord,39.8
mosiah,29,Mosiah proposes that judges be chosen in place of a king—Unrighteous kings lead their people into sin—Alma the younger is chosen chief judge by the voice of the people—He is also the high priest over the Church—Alma the elder and Mosiah die. About 92–91 B.C.,47,people,39.57446808510638
alma,1,"Nehor teaches false doctrines, establishes a church, introduces priestcraft, and slays Gideon—Nehor is executed for his crimes—Priestcrafts and persecutions spread among the people—The priests support themselves, the people care for the poor, and the Church prospers. About 91–88 B.C.",33,people,44.18181818181818
alma,2,Amlici seeks to be king and is rejected by the voice of the people—His followers make him king—The Amlicites make war on the Nephites and are defeated—The Lamanites and Amlicites join forces and are defeated—Alma slays Amlici. About 87 B.C.,38,people,37.81578947368421
alma,3,The Amlicites had marked themselves according to the prophetic word—The Lamanites had been cursed for their rebellion—Men bring their own curses upon themselves—The Nephites defeat another Lamanite army. About 87–86 B.C.,27,seed,37.7037037037037
alma,4,"Alma baptizes thousands of converts—Iniquity enters the Church, and the Church’s progress is hindered—Nephihah is appointed chief judge—Alma, as high priest, devotes himself to the ministry. About 86–83 B.C.",20,people,49.85
alma,5,"To gain salvation, men must repent and keep the commandments, be born again, cleanse their garments through the blood of Christ, be humble and strip themselves of pride and envy, and do the works of righteousness—The Good Shepherd calls His people—Those who do evil works are children of the devil—Alma testifies of the truth of his doctrine and commands men to repent—The names of the righteous will be written in the book of life. About 83 B.C.",62,say,43.903225806451616
alma,6,The Church in Zarahemla is cleansed and set in order—Alma goes to Gideon to preach. About 83 B.C.,8,church,47.25
alma,7,"Christ will be born of Mary—He will loose the bands of death and bear the sins of His people—Those who repent, are baptized, and keep the commandments will have eternal life—Filthiness cannot inherit the kingdom of God—Humility, faith, hope, and charity are required. About 83 B.C.",27,god,52.925925925925924
alma,8,"Alma preaches and baptizes in Melek—He is rejected in Ammonihah and leaves—An angel commands him to return and cry repentance unto the people—He is received by Amulek, and the two of them preach in Ammonihah. About 82 B.C.",32,people,38.28125
alma,9,"Alma commands the people of Ammonihah to repent—The Lord will be merciful to the Lamanites in the last days—If the Nephites forsake the light, they will be destroyed by the Lamanites—The Son of God will come soon—He will redeem those who repent, are baptized, and have faith in His name. About 82 B.C.",34,people,43.64705882352941
alma,10,Lehi descended from Manasseh—Amulek recounts the angelic command that he care for Alma—The prayers of the righteous cause the people to be spared—Unrighteous lawyers and judges lay the foundation of the destruction of the people. About 82 B.C.,32,people,44.40625
alma,11,The Nephite monetary system is set forth—Amulek contends with Zeezrom—Christ will not save people in their sins—Only those who inherit the kingdom of heaven are saved—All men will rise in immortality—There is no death after the Resurrection. About 82 B.C.,46,god,31.608695652173914
alma,12,"Alma speaks to Zeezrom—The mysteries of God can be given only to the faithful—Men are judged by their thoughts, beliefs, words, and works—The wicked will suffer a spiritual death—This mortal life is a probationary state—The plan of redemption brings to pass the Resurrection and, through faith, a remission of sins—The repentant have a claim on mercy through the Only Begotten Son. About 82 B.C.",37,god,48.78378378378378
alma,13,Men are called as high priests because of their exceeding faith and good works—They are to teach the commandments—Through righteousness they are sanctified and enter into the rest of the Lord—Melchizedek was one of these—Angels are declaring glad tidings throughout the land—They will declare the actual coming of Christ. About 82 B.C.,31,holy,42.25806451612903
alma,14,"Alma and Amulek are imprisoned and smitten—The believers and their holy scriptures are burned by fire—These martyrs are received by the Lord in glory—The prison walls are rent and fall—Alma and Amulek are delivered, and their persecutors are slain. About 82–81 B.C.",29,alma,52.13793103448276
alma,15,"Alma and Amulek go to Sidom and establish a church—Alma heals Zeezrom, who joins the Church—Many are baptized, and the Church prospers—Alma and Amulek go to Zarahemla. About 81 B.C.",19,alma,37.0
alma,16,The Lamanites destroy the people of Ammonihah—Zoram leads the Nephites to victory over the Lamanites—Alma and Amulek and many others preach the word—They teach that after His Resurrection Christ will appear to the Nephites. About 81–77 B.C.,21,people,47.714285714285715
alma,17,"The sons of Mosiah have the spirit of prophecy and of revelation—They go their several ways to declare the word to the Lamanites—Ammon goes to the land of Ishmael and becomes the servant of King Lamoni—Ammon saves the king’s flocks and slays his enemies at the water of Sebus. Verses 1–3 , about 77 B.C. ; verse 4 , about 91–77 B.C. ; and verses 5–39 , about 91 B.C.",39,ammon,47.205128205128204
alma,18,"King Lamoni supposes that Ammon is the Great Spirit—Ammon teaches the king about the Creation, God’s dealings with men, and the redemption that comes through Christ—Lamoni believes and falls to the earth as if dead. About 90 B.C.",43,king,37.44186046511628
alma,19,"Lamoni receives the light of everlasting life and sees the Redeemer—His household falls into a trance, and many see angels—Ammon is preserved miraculously—He baptizes many and establishes a church among them. About 90 B.C.",36,ammon,46.888888888888886
alma,20,"The Lord sends Ammon to Middoni to deliver his imprisoned brethren—Ammon and Lamoni meet Lamoni’s father, who is king over all the land—Ammon compels the old king to approve the release of his brethren. About 90 B.C.",30,ammon,42.833333333333336
alma,21,"Aaron teaches the Amalekites about Christ and His Atonement—Aaron and his brethren are imprisoned in Middoni—After their deliverance, they teach in the synagogues and make many converts—Lamoni grants religious freedom to the people in the land of Ishmael. About 90–77 B.C.",23,people,41.26086956521739
alma,22,"Aaron teaches Lamoni’s father about the Creation, the Fall of Adam, and the plan of redemption through Christ—The king and all his household are converted—The division of the land between the Nephites and the Lamanites is explained. About 90–77 B.C.",35,king,52.77142857142857
alma,23,Religious freedom is proclaimed—The Lamanites in seven lands and cities are converted—They call themselves Anti-Nephi-Lehies and are freed from the curse—The Amalekites and the Amulonites reject the truth. About 90–77 B.C.,18,people,41.833333333333336
alma,24,The Lamanites come against the people of God—The Anti-Nephi-Lehies rejoice in Christ and are visited by angels—They choose to suffer death rather than to defend themselves—More Lamanites are converted. About 90–77 B.C.,30,brethren,49.766666666666666
alma,25,Lamanite aggressions spread—The seed of the priests of Noah perish as Abinadi prophesied—Many Lamanites are converted and join the people of Anti-Nephi-Lehi—They believe in Christ and keep the law of Moses. About 90–77 B.C.,17,brethren,43.411764705882355
alma,26,Ammon glories in the Lord—The faithful are strengthened by the Lord and are given knowledge—By faith men may bring thousands of souls unto repentance—God has all power and comprehends all things. About 90–77 B.C.,37,behold,44.08108108108108
alma,27,"The Lord commands Ammon to lead the people of Anti-Nephi-Lehi to safety—Upon meeting Alma, Ammon’s joy exhausts his strength—The Nephites give the Anti-Nephi-Lehies the land of Jershon—They are called the people of Ammon. About 90–77 B.C.",30,brethren,41.8
alma,28,The Lamanites are defeated in a tremendous battle—Tens of thousands are slain—The wicked are consigned to a state of endless woe; the righteous attain a never-ending happiness. About 77–76 B.C.,14,people,40.642857142857146
alma,29,Alma desires to cry repentance with angelic zeal—The Lord grants teachers for all nations—Alma glories in the Lord’s work and in the success of Ammon and his brethren. About 76 B.C.,17,god,41.35294117647059
alma,30,"Korihor, the anti-Christ, ridicules Christ, the Atonement, and the spirit of prophecy—He teaches that there is no God, no fall of man, no penalty for sin, and no Christ—Alma testifies that Christ will come and that all things denote there is a God—Korihor demands a sign and is struck dumb—The devil had appeared to Korihor as an angel and taught him what to say—Korihor is trodden down and dies. About 76–74 B.C.",60,people,44.13333333333333
alma,31,"Alma heads a mission to reclaim the apostate Zoramites—The Zoramites deny Christ, believe in a false concept of election, and worship with set prayers—The missionaries are filled with the Holy Spirit—Their afflictions are swallowed up in the joy of Christ. About 74 B.C.",38,god,38.5
alma,32,"Alma teaches the poor whose afflictions had humbled them—Faith is a hope in that which is not seen which is true—Alma testifies that angels minister to men, women, and children—Alma compares the word unto a seed—It must be planted and nourished—Then it grows into a tree from which the fruit of eternal life is picked. About 74 B.C.",43,behold,42.06976744186046
alma,33,"Zenos taught that men should pray and worship in all places, and that judgments are turned away because of the Son—Zenock taught that mercy is bestowed because of the Son—Moses had lifted up in the wilderness a type of the Son of God. About 74 B.C.",23,behold,36.130434782608695
